WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
110,156,0,59962,29.685,27.651,70.54263566,2.1429525
110,157,1,60255,29.55,26.603,71.31782946,2.0617325
110,157,0,59927,29.846,26.211,71.31782946,2.0313525
110,158,1,59250,30.385,26.186,72.09302326,2.029415
110,158,0,58745,30.357,25.929,72.09302326,2.0094975
110,158,0,58320,30.063,25.563,72.09302326,1.9811325
110,159,1,57865,29.808,25.385,72.86821705,1.9673375
110,160,1,57396,29.573,25.295,73.64341085,1.9603625
110,160,0,56909,29.331,25.324,73.64341085,1.96261
110,160,0,56404,29.081,25.482,73.64341085,1.974855
110,160,0,55862,28.848,25.555,73.64341085,1.9805125
110,159,-1,55270,28.636,25.513,72.86821705,1.9772575
110,158,-1,54327,28.234,25.736,72.09302326,1.99454
110,157,-1,52705,27.463,26.477,71.31782946,2.0519675
110,156,-1,51774,26.995,26.762,70.54263566,2.074055
110,155,-1,52313,27.171,26.076,69.76744186,2.02089
110,154,-1,52893,27.334,25.448,68.99224806,1.97222
110,154,0,53854,27.392,25.34,68.99224806,1.96385
110,154,0,54815,27.45,25.233,68.99224806,1.9555575
110,154,0,55453,27.466,23.236,68.99224806,1.80079
110,153,-1,56064,27.479,21.074,68.21705426,1.633235
110,153,0,56674,27.491,18.913,68.21705426,1.4657575
110,154,1,57130,27.562,24.391,68.99224806,1.8903025
110,154,0,57543,27.649,32.025,68.99224806,2.4819375
110,154,0,57866,27.851,33.282,68.99224806,2.579355
110,154,0,58162,28.086,32.74,68.99224806,2.53735
110,154,0,58451,28.321,31.193,68.99224806,2.4174575
110,154,0,58736,28.557,29.362,68.99224806,2.275555
110,154,0,59820,29.111,28.018,68.99224806,2.171395
110,154,0,61215,29.788,26.864,68.99224806,2.08196
110,153,-1,60958,29.857,25.847,68.21705426,2.0031425
110,152,-1,60234,29.753,24.869,67.44186047,1.9273475
110,152,0,59573,29.75,25.021,67.44186047,1.9391275
110,152,0,58928,29.773,25.455,67.44186047,1.9727625
110,152,0,58440,29.862,25.388,67.44186047,1.96757
110,152,0,57978,29.962,25.24,67.44186047,1.9561
110,152,0,57363,29.768,24.574,67.44186047,1.904485
110,152,0,56695,29.47,23.727,67.44186047,1.8388425
110,152,0,56212,29.295,24.69,67.44186047,1.913475
110,152,0,55833,29.19,26.67,67.44186047,2.066925
110,152,0,55462,29.096,27.121,67.44186047,2.1018775
110,152,0,55096,29.007,26.783,67.44186047,2.0756825
110,151,-1,54799,28.956,25.695,66.66666667,1.9913625
110,151,0,54530,28.923,24.287,66.66666667,1.8822425
110,150,-1,54401,28.88,23.471,65.89147287,1.8190025
110,150,0,54448,28.825,23.411,65.89147287,1.8143525
110,149,-1,54125,28.7,23.45,65.11627907,1.817375
110,149,0,53143,28.451,23.666,65.11627907,1.834115
110,149,0,52401,28.043,23.755,65.11627907,1.8410125
110,149,0,52125,27.323,23.6,65.11627907,1.829
110,148,-1,51913,26.774,23.637,64.34108527,1.8318675
110,148,0,51998,27.003,24.548,64.34108527,1.90247
110,148,0,52079,27.227,25.421,64.34108527,1.9701275
110,148,0,51912,27.192,24.413,64.34108527,1.8920075
110,148,0,51744,27.158,23.406,64.34108527,1.813965
110,148,0,51661,27.089,23.664,64.34108527,1.83396
110,148,0,51600,27.01,24.279,64.34108527,1.8816225
110,147,-1,51540,26.932,24.894,63.56589147,1.929285
110,147,0,51516,27.029,24.952,63.56589147,1.93378
110,146,-1,51505,27.189,24.816,62.79069767,1.92324
110,146,0,51391,27.23,24.268,62.79069767,1.88077
110,146,0,51241,27.23,23.575,62.79069767,1.8270625
110,146,0,51701,27.376,23.651,62.79069767,1.8329525
110,145,-1,52535,27.611,24.198,62.01550388,1.875345
