WR,HR,DeltaHR,VE,BF,VO2rel,HRR,VO2
130,131,0,33845,21,23.67,56.15384615,1.600092
130,132,1,33845,21,24.063,56.92307692,1.6266588
130,132,0,35003,22,24.282,56.92307692,1.6414632
130,132,0,35003,24,22.505,56.92307692,1.521338
130,132,0,34959,25,20.979,56.92307692,1.4181804
130,132,0,34959,26,21.709,56.92307692,1.4675284
130,132,0,35484,27,22.411,56.92307692,1.5149836
130,133,1,35484,28,22.683,57.69230769,1.5333708
130,132,-1,34311,28,22.955,56.92307692,1.551758
130,132,0,34311,29,22.688,56.92307692,1.5337088
130,132,0,34311,29,22.119,56.92307692,1.4952444
130,132,0,36525,29,22.203,56.92307692,1.5009228
130,132,0,36525,29,22.568,56.92307692,1.5255968
130,131,-1,35587,29,22.932,56.15384615,1.5502032
130,131,0,35587,28,21.265,56.15384615,1.437514
130,131,0,35587,28,19.373,56.15384615,1.3096148
130,131,0,36584,27,19.649,56.15384615,1.3282724
130,131,0,36584,27,21.494,56.15384615,1.4529944
130,131,0,36584,26,23.34,56.15384615,1.577784
130,131,0,35622,26,23.788,56.15384615,1.6080688
130,131,0,35622,25,23.045,56.15384615,1.557842
130,131,0,34782,25,22.355,56.15384615,1.511198
130,132,1,34782,24,21.987,56.92307692,1.4863212
130,132,0,34782,24,21.619,56.92307692,1.4614444
130,132,0,38999,24,22.933,56.92307692,1.5502708
130,133,1,38999,24,24.354,57.69230769,1.6463304
130,133,0,38999,24,25.775,57.69230769,1.74239
130,133,0,37674,23,25.815,57.69230769,1.745094
130,133,0,37674,23,23.947,57.69230769,1.6188172
130,133,0,36648,22,22.079,57.69230769,1.4925404
130,134,1,36648,22,22.626,58.46153846,1.5295176
130,134,0,36648,22,23.702,58.46153846,1.6022552
130,135,1,37605,22,24.522,59.23076923,1.6576872
130,135,0,37605,22,24.886,59.23076923,1.6822936
130,135,0,37605,22,25.249,59.23076923,1.7068324
130,135,0,38857,23,25.712,59.23076923,1.7381312
130,136,1,38857,23,26.175,60,1.76943
130,136,0,40275,23,26.638,60,1.8007288
130,136,0,40275,22,27.534,60,1.8612984
130,136,0,40275,22,28.488,60,1.9257888
130,136,0,41571,23,28.085,60,1.898546
130,136,0,41571,23,27.042,60,1.8280392
130,136,0,39122,23,26.47,60,1.789372
130,136,0,39122,23,26.898,60,1.8183048
130,137,1,41576,23,27.326,60.76923077,1.8472376
130,137,0,41576,24,26.034,60.76923077,1.7598984
130,137,0,41547,25,24.55,60.76923077,1.65958
130,137,0,41547,25,24.451,60.76923077,1.6528876
130,137,0,42607,25,24.41,60.76923077,1.650116
130,137,0,42607,25,24.764,60.76923077,1.6740464
130,137,0,42607,25,25.119,60.76923077,1.6980444
130,137,0,44532,26,25.201,60.76923077,1.7035876
130,137,0,44532,26,25.197,60.76923077,1.7033172
130,137,0,44532,26,25.193,60.76923077,1.7030468
130,137,0,43294,26,24.811,60.76923077,1.6772236
130,137,0,43294,25,23.862,60.76923077,1.6130712
130,136,-1,43275,25,22.913,60,1.5489188
130,137,1,43275,25,23.17,60.76923077,1.566292
130,137,0,42475,25,23.943,60.76923077,1.6185468
130,137,0,42475,25,25.476,60.76923077,1.7221776
